Date,Description,Amount
2023-10-21,Bank Transaction 650,503.64
2023-09-16,Bank Transaction 651,-700.5
2023-07-14,Bank Transaction 652,-679.84
2023-02-26,Bank Transaction 653,556.98
2023-10-09,Bank Transaction 654,741.08
2023-10-15,Bank Transaction 655,793.19
2023-11-04,Bank Transaction 656,817.05
2023-06-11,Bank Transaction 657,383.23
2023-01-11,Bank Transaction 658,865.58
2023-08-13,Bank Transaction 659,-330.72
2023-10-21,Bank Transaction 660,-608.3
2023-03-29,Bank Transaction 661,764.83
2023-09-02,Bank Transaction 662,787.26
2023-03-08,Bank Transaction 663,431.09
2023-03-06,Bank Transaction 664,249.14
2023-10-08,Bank Transaction 665,-489.09
2023-08-21,Bank Transaction 666,-683.72
2023-10-17,Bank Transaction 667,-226.23
2023-02-17,Bank Transaction 668,767.18
2023-08-23,Bank Transaction 669,-379.3
2023-04-11,Bank Transaction 670,-704.99
2023-10-22,Bank Transaction 671,-779.11
2023-05-25,Bank Transaction 672,216.21
2023-11-19,Bank Transaction 673,820.9
2023-03-04,Bank Transaction 674,600.56
2023-04-04,Bank Transaction 675,-622.74
2023-11-01,Bank Transaction 676,761.93
2023-07-24,Bank Transaction 677,451.75
2023-11-18,Bank Transaction 678,349.73
2023-08-12,Bank Transaction 679,747.56
2023-09-01,Bank Transaction 680,-677.52
2023-06-26,Bank Transaction 681,-196.42
2023-10-01,Bank Transaction 682,812.93
2023-04-19,Bank Transaction 683,468.17
2023-06-18,Bank Transaction 684,-834.47
2023-01-17,Bank Transaction 685,187.88
2023-07-18,Bank Transaction 686,438.68
2023-02-24,Bank Transaction 687,470.59
2023-10-21,Bank Transaction 688,-404.43
2023-09-18,Bank Transaction 689,-709.37
2023-04-01,Bank Transaction 690,-663.04
2023-02-12,Bank Transaction 691,773.67
2023-02-08,Bank Transaction 692,924.44
2023-11-25,Bank Transaction 693,117.66
2023-12-11,Bank Transaction 694,238.38
2023-04-25,Bank Transaction 695,-964.07
2023-07-14,Bank Transaction 696,267.62
2023-01-31,Bank Transaction 697,-154.63
2023-01-25,Bank Transaction 698,234.31
2023-01-20,Bank Transaction 699,606.28
2023-01-20,Bank Transaction 700,533.37
2023-07-04,Bank Transaction 701,-440.01
2023-04-26,Bank Transaction 702,-234.91
2023-07-31,Bank Transaction 703,326.62
2023-10-24,Bank Transaction 704,375.19
2023-05-09,Bank Transaction 705,155.04
2023-06-20,Bank Transaction 706,78.82
2023-10-06,Bank Transaction 707,-875.85
2023-09-20,Bank Transaction 708,-379.22
2023-10-06,Bank Transaction 709,591.2
2023-08-20,Bank Transaction 710,427.2
2023-05-22,Bank Transaction 711,159.18
2023-04-15,Bank Transaction 712,199.63
2023-12-23,Bank Transaction 713,-891.06
2023-07-01,Bank Transaction 714,918.01
2023-06-18,Bank Transaction 715,1007.68
2023-04-24,Bank Transaction 716,477.41
2023-01-21,Bank Transaction 717,281.92
2023-05-22,Bank Transaction 718,-3.15
2023-10-08,Bank Transaction 719,507.03
2023-05-22,Bank Transaction 720,963.31
2023-11-14,Bank Transaction 721,-520.57
2023-09-24,Bank Transaction 722,-491.89
2023-04-28,Bank Transaction 723,290.75
2023-12-20,Bank Transaction 724,807.79
2023-04-18,Bank Transaction 725,-864.38
2023-05-28,Bank Transaction 726,243.37
2023-07-19,Bank Transaction 727,521.41
2023-08-28,Bank Transaction 728,253.54
2023-05-03,Bank Transaction 729,490.59
2023-08-04,Bank Transaction 730,313.58
2023-04-12,Bank Transaction 731,-211.83
2023-08-28,Bank Transaction 732,612.45
2023-07-09,Bank Transaction 733,519.02
2023-01-16,Bank Transaction 734,-525.03
2023-01-30,Bank Transaction 735,-239.31
2023-03-04,Bank Transaction 736,-538.69
2023-04-16,Bank Transaction 737,-53.63
2023-04-22,Bank Transaction 738,593.13
2023-11-12,Bank Transaction 739,93.6
2023-09-20,Bank Transaction 740,133.92
2023-03-10,Bank Transaction 741,59.41
2023-01-01,Bank Transaction 742,-328.18
2023-05-14,Bank Transaction 743,-729.75
2023-04-30,Bank Transaction 744,205.9
2023-10-19,Bank Transaction 745,805.62
2023-10-19,Bank Transaction 746,-37.96
2023-03-25,Bank Transaction 747,430.15
2023-01-10,Bank Transaction 748,767.03
2023-09-30,Bank Transaction 749,-304.67
2023-12-07,Bank Transaction 750,-530.38
2023-03-04,Bank Transaction 751,-890.35
2023-05-21,Bank Transaction 752,677.94
2023-09-12,Bank Transaction 753,447.56
2023-11-22,Bank Transaction 754,-507.18
2023-08-27,Bank Transaction 755,-91.95
2023-09-26,Bank Transaction 756,-404.67
2023-01-06,Bank Transaction 757,-919.19
2023-12-01,Bank Transaction 758,-320.53
2023-04-07,Bank Transaction 759,-590.12
2023-11-05,Bank Transaction 760,936.58
2023-08-19,Bank Transaction 761,-277.02
2023-10-26,Bank Transaction 762,-340.24
2023-07-06,Bank Transaction 763,172.02
2023-10-19,Bank Transaction 764,-405.66
2023-07-22,Bank Transaction 765,526.76
2023-07-01,Bank Transaction 766,-399.87
2023-05-31,Bank Transaction 767,-975.8
2023-01-10,Bank Transaction 768,215.55
2023-01-09,Bank Transaction 769,197.51
2023-10-02,Bank Transaction 770,444.07
2023-03-31,Bank Transaction 771,374.31
2023-12-20,Bank Transaction 772,570.59
2023-01-17,Bank Transaction 773,-82.24
2023-10-03,Bank Transaction 774,731.27
2023-09-12,Bank Transaction 775,-514.24
2023-03-14,Bank Transaction 776,164.17
2023-07-30,Bank Transaction 777,702.53
2023-11-22,Bank Transaction 778,-751.99
2023-03-03,Bank Transaction 779,42.51
2023-02-08,Bank Transaction 780,899.11
2023-12-29,Bank Transaction 781,330.77
2023-03-05,Bank Transaction 782,626.59
2023-11-17,Bank Transaction 783,-765.89
2023-10-13,Bank Transaction 784,-516.26
2023-04-07,Bank Transaction 785,-576.91
2023-08-25,Bank Transaction 786,168.73
2023-07-16,Bank Transaction 787,-450.81
2023-10-10,Bank Transaction 788,252.99
2023-02-16,Bank Transaction 789,313.46
2023-11-22,Bank Transaction 790,-884.97
2023-12-18,Bank Transaction 791,43.3
2023-01-27,Bank Transaction 792,-201.95
2023-12-28,Bank Transaction 793,6.42
2023-08-15,Bank Transaction 794,-246.36
2023-02-19,Bank Transaction 795,-676.79
2023-04-18,Bank Transaction 796,-545.54
2023-07-27,Bank Transaction 797,423.79
2023-11-28,Bank Transaction 798,217.91
2023-04-12,Bank Transaction 799,192.78
2023-05-01,Bank Transaction 800,566.77
2023-03-28,Bank Transaction 801,-106.57
2023-07-20,Bank Transaction 802,690.03
2023-05-15,Bank Transaction 803,-22.88
2023-05-20,Bank Transaction 804,853.01
2023-12-02,Bank Transaction 805,258.18
2023-07-20,Bank Transaction 806,59.3
2023-10-10,Bank Transaction 807,-218.45
2023-10-28,Bank Transaction 808,-643.73
2023-07-01,Bank Transaction 809,-894.01
2023-01-27,Bank Transaction 810,-476.64
2023-07-24,Bank Transaction 811,-61.51
2023-01-17,Bank Transaction 812,459.07
2023-05-01,Bank Transaction 813,-7.56
2023-07-02,Bank Transaction 814,219.39
2023-09-19,Bank Transaction 815,97.79
2023-05-07,Bank Transaction 816,60.83
2023-01-16,Bank Transaction 817,-867.24
2023-02-18,Bank Transaction 818,689.4
2023-05-24,Bank Transaction 819,597.05
2023-11-19,Bank Transaction 820,752.82
2023-10-29,Bank Transaction 821,926.39
2023-06-22,Bank Transaction 822,387.13
2023-09-01,Bank Transaction 823,-389.06
2023-10-29,Bank Transaction 824,187.24
2023-11-12,Bank Transaction 825,712.08
2023-12-27,Bank Transaction 826,-844.88
2023-02-28,Bank Transaction 827,-938.92
2023-11-14,Bank Transaction 828,175.37
2023-07-04,Bank Transaction 829,941.57
2023-12-15,Bank Transaction 830,-614.58
2023-07-19,Bank Transaction 831,611.83
2023-07-23,Bank Transaction 832,510.3
2023-03-18,Bank Transaction 833,11.48
2023-10-02,Bank Transaction 834,-444.8
2023-01-13,Bank Transaction 835,695.42
2023-01-13,Bank Transaction 836,-532.58
2023-07-16,Bank Transaction 837,-603.24
2023-09-07,Bank Transaction 838,-792.94
2023-06-28,Bank Transaction 839,-924.1
2023-04-15,Bank Transaction 840,356.5
2023-04-08,Bank Transaction 841,209.35
2023-05-15,Bank Transaction 842,803.54
2023-06-25,Bank Transaction 843,-63.87
2023-09-20,Bank Transaction 844,-611.79
2023-10-12,Bank Transaction 845,474.66
2023-07-16,Bank Transaction 846,441.7
2023-07-18,Bank Transaction 847,506.45
2023-06-05,Bank Transaction 848,-542.94
2023-09-13,Bank Transaction 849,-37.31
2023-06-10,Bank Transaction 850,-908.81
2023-04-12,Bank Transaction 851,858.23
2023-04-10,Bank Transaction 852,-124.74
2023-06-07,Bank Transaction 853,-211.99
2023-03-23,Bank Transaction 854,445.26
2023-11-23,Bank Transaction 855,-517.54
2023-10-01,Bank Transaction 856,-709.49
2023-02-13,Bank Transaction 857,-120.64
2023-06-05,Bank Transaction 858,-522.16
2023-04-19,Bank Transaction 859,-426.73
2023-11-30,Bank Transaction 860,-458.06
2023-03-29,Bank Transaction 861,882.32
2023-04-16,Bank Transaction 862,271.1
2023-05-11,Bank Transaction 863,898.47
2023-06-24,Bank Transaction 864,-249.84
2023-07-17,Bank Transaction 865,546.02
2023-08-01,Bank Transaction 866,785.95
2023-07-05,Bank Transaction 867,-278.44
2023-11-21,Bank Transaction 868,91.48
2023-03-07,Bank Transaction 869,266.87
2023-11-07,Bank Transaction 870,720.49
2023-10-06,Bank Transaction 871,-51.86
2023-05-06,Bank Transaction 872,-164.66
2023-03-17,Bank Transaction 873,834.03
2023-11-12,Bank Transaction 874,-398.61
2023-06-11,Bank Transaction 875,-536.36
2023-10-30,Bank Transaction 876,406.22
2023-08-31,Bank Transaction 877,-259.43
2023-02-19,Bank Transaction 878,-774.76
2023-12-23,Bank Transaction 879,-566.34
2023-10-16,Bank Transaction 880,-412.39
2023-01-31,Bank Transaction 881,863.47
2023-11-14,Bank Transaction 882,-266.01
2023-04-19,Bank Transaction 883,-140.21
2023-11-20,Bank Transaction 884,-403.93
2023-03-10,Bank Transaction 885,202.26
2023-09-23,Bank Transaction 886,-443.67
2023-11-07,Bank Transaction 887,981.88
2023-09-19,Bank Transaction 888,-235.02
2023-12-07,Bank Transaction 889,307.26
2023-11-27,Bank Transaction 890,-688.92
2023-06-11,Bank Transaction 891,-249.17
2023-12-25,Bank Transaction 892,-798.2
2023-04-08,Bank Transaction 893,811.41
2023-04-12,Bank Transaction 894,-186.81
2023-05-22,Bank Transaction 895,-843.42
2023-02-08,Bank Transaction 896,-162.55
2023-08-17,Bank Transaction 897,-212.8
2023-02-21,Bank Transaction 898,813.14
2023-10-13,Bank Transaction 899,-628.83
2023-04-30,Bank Transaction 900,460.56
2023-03-10,Bank Transaction 901,-798.22
2023-12-12,Bank Transaction 902,15.82
2023-09-29,Bank Transaction 903,358.46
2023-03-06,Bank Transaction 904,-349.17
2023-09-01,Bank Transaction 905,-338.34
2023-08-11,Bank Transaction 906,-72.27
2023-01-02,Bank Transaction 907,21.1
2023-03-02,Bank Transaction 908,-22.67
2023-08-13,Bank Transaction 909,-130.12
2023-10-06,Bank Transaction 910,-919.86
2023-05-22,Bank Transaction 911,-308.11
2023-03-12,Bank Transaction 912,947.48
2023-06-12,Bank Transaction 913,-931.34
2023-08-20,Bank Transaction 914,190.8
2023-06-10,Bank Transaction 915,41.11
2023-12-13,Bank Transaction 916,-678.92
2023-12-25,Bank Transaction 917,-903.53
2023-12-10,Bank Transaction 918,90.82
2023-11-18,Bank Transaction 919,-186.57
2023-02-04,Bank Transaction 920,69.4
2023-04-17,Bank Transaction 921,-101.26
2023-03-09,Bank Transaction 922,211.57
2023-03-04,Bank Transaction 923,-637.43
2023-02-12,Bank Transaction 924,579.87
2023-01-19,Bank Transaction 925,46.31
2023-10-17,Bank Transaction 926,477.86
2023-11-09,Bank Transaction 927,-810.13
2023-10-27,Bank Transaction 928,-149.86
2023-12-20,Bank Transaction 929,736.4
2023-10-09,Bank Transaction 930,85.42
2023-08-06,Bank Transaction 931,38.3
2023-09-30,Bank Transaction 932,404.89
2023-04-12,Bank Transaction 933,737.05
2023-08-07,Bank Transaction 934,-623.18
2023-08-25,Bank Transaction 935,638.75
2023-11-20,Bank Transaction 936,-906.78
2023-09-20,Bank Transaction 937,477.25
2023-03-25,Bank Transaction 938,761.79
2023-03-12,Bank Transaction 939,200.48
2023-05-19,Bank Transaction 940,-718.89
2023-11-27,Bank Transaction 941,-693.03
2023-04-21,Bank Transaction 942,-832.05
2023-09-02,Bank Transaction 943,938.6
2023-06-04,Bank Transaction 944,295.31
2023-03-09,Bank Transaction 945,-494.85
2023-08-13,Bank Transaction 946,-919.72
2023-03-29,Bank Transaction 947,-578.88
2023-07-02,Bank Transaction 948,-59.8
2023-10-15,Bank Transaction 949,853.44
2023-12-12,Bank Transaction 950,-304.01
2023-10-24,Bank Transaction 951,-551.49
2023-04-29,Bank Transaction 952,202.53
2023-08-22,Bank Transaction 953,-884.43
2023-07-25,Bank Transaction 954,-827.64
2023-02-26,Bank Transaction 955,-616.57
2023-08-18,Bank Transaction 956,337.65
2023-05-08,Bank Transaction 957,881.31
2023-02-20,Bank Transaction 958,852.97
2023-08-23,Bank Transaction 959,-976.99
2023-04-24,Bank Transaction 960,616.52
2023-01-02,Bank Transaction 961,863.66
2023-04-01,Bank Transaction 962,708.97
2023-05-26,Bank Transaction 963,-117.69
2023-04-13,Bank Transaction 964,228.65
2023-09-27,Bank Transaction 965,-827.91
2023-04-22,Bank Transaction 966,425.47
2023-05-14,Bank Transaction 967,-216.59
2023-12-30,Bank Transaction 968,228.36
2023-06-24,Bank Transaction 969,-276.36
2023-08-15,Bank Transaction 970,80.12
2023-01-14,Bank Transaction 971,-863.32
2023-01-23,Bank Transaction 972,-908.28
2023-01-23,Bank Transaction 973,-619.54
2023-09-29,Bank Transaction 974,-448.38
2023-08-15,Bank Transaction 975,593.31
2023-09-28,Bank Transaction 976,-704.52
2023-03-11,Bank Transaction 977,547.41
2023-12-09,Bank Transaction 978,721.27
2023-09-19,Bank Transaction 979,-229.73
2023-01-19,Bank Transaction 980,855.23
2023-07-22,Bank Transaction 981,-813.64
2023-12-07,Bank Transaction 982,-452.55
2023-08-05,Bank Transaction 983,-600.35
2023-08-05,Bank Transaction 984,985.92
2023-01-24,Bank Transaction 985,-659.07
2023-05-13,Bank Transaction 986,268.97
2023-08-01,Bank Transaction 987,969.21
2023-05-14,Bank Transaction 988,-828.99
2023-09-05,Bank Transaction 989,-212.77
2023-12-19,Bank Transaction 990,-390.23
2023-12-11,Bank Transaction 991,-432.22
2023-12-15,Bank Transaction 992,-5.21
2023-03-20,Bank Transaction 993,-817.4
2023-02-28,Bank Transaction 994,322.11
2023-05-14,Bank Transaction 995,709.22
2023-05-24,Bank Transaction 996,-677.39
2023-09-18,Bank Transaction 997,-429.03
2023-10-07,Bank Transaction 998,-239.85
2023-02-18,Bank Transaction 999,-616.65
2023-10-13,Bank Transaction 1000,443.4
